TransactionID,CustomerID,CustomerDOB,CustGender,CustLocation,CustAccountBalance,TransactionDate,TransactionTime,TransactionAmount (INR)
T892846,C5725279,8/9/84,M,JASPUR,84447.82,7/9/16,183210,11858.0
T444995,C4588538,2/1/94,M,GURGAON,12549.49,16/8/16,161300,250.0
T614897,C2416476,14/11/90,M,NEW DELHI,33607.65,26/8/16,102007,3360.0
T457037,C5940151,15/9/90,M,HYDERABAD,38238.86,21/8/16,110438,250.0
T997442,C5922989,27/11/88,M,PURBO MEDINIPUR,9506.85,14/9/16,90810,33.0
T518220,C8296884,31/10/89,M,BANGALORE,635863.63,19/8/16,215646,2688.0
T778233,C6671851,1/1/1800,M,SHOPPING COMPLEX THIRUVANATHAPURAM,5867.38,6/9/16,193036,870.0
T151836,C8927812,3/3/87,M,NEW DELHI,63911.56,4/8/16,30857,499.0
T446576,C7511745,23/3/92,F,GURGAON,19853.15,16/8/16,183906,280.0
T887528,C6126877,1/10/93,M,GURGAON,3848.86,7/9/16,201500,203.45
T672566,C4838159,19/6/77,M,ROAD NUNGAMBAKKAM CHENNAI,32578.12,31/8/16,190101,350.0
T542360,C2312711,27/11/82,M,AURANGABAD,7626.73,23/8/16,1540,147.0
T320470,C7895589,1/1/1800,M,LUCKNOW,167783.85,15/8/16,15803,49041.68
T634647,C1737472,7/7/89,M,GHAZIABAD,2954.27,29/8/16,173500,300.0
T153452,C7220357,19/11/76,M,HYDERABAD,19841.89,4/8/16,41313,300.0
T160007,C4547164,10/6/91,M,BANGALORE,8056.18,4/8/16,81808,150.0
T865234,C6641948,1/1/1800,M,MOHALI,34807.77,8/9/16,20600,2.7
T133065,C3014337,7/8/90,M,NOIDA,2379.92,5/8/16,90701,946.0
T26154,C5326361,8/7/93,F,MANGALORE TQ,27382.64,26/9/16,173252,1249.0
T995716,C4040113,26/1/77,M,CHENNAI,3122.1,14/9/16,94149,1000.0
T417157,C4140330,14/3/98,M,MUMBAI,2057.19,17/8/16,120037,1965.0
T252393,C2835570,6/8/86,M,GURGAON,223078.63,7/8/16,202538,500.0
T288515,C8523469,15/11/93,M,HYDERABAD,10963.61,11/8/16,153244,200.0
T675827,C6920776,6/9/79,M,HYDERABAD,30423.14,28/8/16,112927,659.0
T519648,C2723414,13/12/91,F,ULHASNAGAR,187115.35,19/8/16,213946,15300.0
T901428,C5928779,25/12/84,M,MUMBAI,14525.85,7/9/16,110104,100.0
T177531,C4823476,5/2/88,M,GURGAON,20384.09,4/8/16,210517,500.0
T125723,C4030963,1/1/1800,M,SAHIB STRT BANGALORE,116024.37,6/8/16,235804,635.0
T179851,C6717763,9/8/89,M,GURDASPUR,1387.05,4/8/16,211925,1170.0
T166501,C5135922,4/3/72,M,NOIDA,29911.96,4/8/16,135909,822.0
